Year,Depression,Mental Health
2004,87.83333333333333,64.25
2005,83.91666666666667,60.666666666666664
2006,76.25,57.75
2007,68.41666666666667,56.666666666666664
2008,67.25,55.25
2009,67.83333333333333,53.583333333333336
2010,65.66666666666667,50.333333333333336
2011,68.5,50.833333333333336
2012,68.16666666666667,48.833333333333336
2013,70.33333333333333,51.416666666666664
2014,76.33333333333333,53.083333333333336
2015,79.75,56.25
2016,82.0,58.333333333333336
2017,86.66666666666667,63.333333333333336
2018,91.25,73.58333333333333
