Year,Rate,Incidents
1966,-1.6740358079980855,-0.5231192699236422
1971,-0.1556869351637721,-0.5888915757912346
1972,-0.7078137980126131,-0.5888915757912346
1974,0.6725033591094898,-0.5231192699236422
1976,1.0865985062461205,-0.5231192699236422
1979,-0.1556869351637721,-0.5231192699236422
1982,3.1570742419292754,-0.4573469640560498
1983,1.4316777955266469,-0.5231192699236422
1984,0.7415192169655946,-0.3258023523208649
1985,0.5344716433972794,-0.5231192699236422
1986,0.2584082119728585,-0.3915746581884573
1987,-0.36273450873208746,-0.5231192699236422
1988,-0.6387979401565083,-0.19425774058568002
1989,-0.5697820823004027,-0.3258023523208649
1990,-0.09357266309327758,-0.5231192699236422
1991,0.6310938443958264,-0.12848543471808757
1992,0.851944589535363,-0.26003004645327243
1993,0.4792589571123952,0.20037609461987466
1994,-0.03145839102278304,-0.3258023523208649
1995,-0.23160437880548798,-0.3258023523208649
1996,-0.21780120723426666,-0.3915746581884573
1997,-0.5214709818011296,-0.12848543471808757
1998,-0.7699280700831077,-0.12848543471808757
1999,-0.9355661289377603,0.1346037887522822
2000,-1.3151533471463384,-0.5231192699236422
2001,-0.8596486852960443,-0.4573469640560498
2002,-0.3489313371608667,-0.5231192699236422
2003,-0.14188376359255137,-0.3915746581884573
2004,-0.3696360945176978,-0.4573469640560498
2005,-0.5490773249435716,-0.3258023523208649
2006,-0.8665502710816553,-0.06271312885049511
2007,-0.9217629573665395,0.26614840048746713
2008,-0.32822657980403497,-0.06271312885049511
2009,1.8319697710920566,0.0030591770170973285
2010,2.039017344660371,-0.4573469640560498
2011,1.5835126828100774,-0.06271312885049511
2012,0.9830747194619631,0.7265545415606143
2013,0.6794049448951002,0.7265545415606143
2014,-0.09357266309327758,0.46346531809024444
2015,-0.5697820823004027,4.080942140807829
2016,-0.7354201411550553,4.344031364278199
2017,-1.2599406608614543,0.6607822356930217
2018,-1.536004092285875,0.46346531809024444
